"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"62","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0037.bmp","","1515.0037.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"63","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0038.bmp","","1515.0038.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"64","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0039.bmp","","1515.0039.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"65","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0040.bmp","","1515.0040.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"66","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0041.bmp","","1515.0041.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"67","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0042.bmp","","1515.0042.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"68","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0043.bmp","","1515.0043.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"69","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0044.bmp","","1515.0044.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"70","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0045.bmp","","1515.0045.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"71","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0046.bmp","","1515.0046.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"72","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0047.bmp","","1515.0047.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"73","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0048.bmp","","1515.0048.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"74","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0049.bmp","","1515.0049.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"76","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0050.bmp","","1515.0050.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"77","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0051.bmp","","1515.0051.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"78","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0052.bmp","","1515.0052.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
